@alberichspielt1,twitter.com/alberichspielt1,"😂😆 ¡¡¡¡VIVA SUECIA 🇸🇪!!!! 😆😂
Qué desgraciados!!!! Maravilloso...!!!! JAJAJAJAJAAJ
Esto sí que ha sido una sorpresa 😆😆😆

Hala, hala... Guten Appetit!!! 😂🥂🍴#ElConquis5ETB#conquisETB#ElConquisETB",twitter.com/alberichspielt1/status/1892368507498627440#m
@mondadientes_,twitter.com/mondadientes_,"El problema es que con sus comentarios y actitudes posteriores se ve que se ha equivocado en ""decirlo"", pero no en pensarlo#ElConquis5ETB#ConquisETB",twitter.com/mondadientes_/status/1892355275794866470#m
@AnuskaLaBuena,twitter.com/AnuskaLaBuena,Hostia. Gorka conquis tve de capi?? No me lo esperaba ni de palo. Sera la unica vez que nos han hecho caso…#conquisETB,twitter.com/AnuskaLaBuena/status/1891918846795067652#m
@IkerSantxo,twitter.com/IkerSantxo,Mucha demagogia y muchas palabras de moralidad de Joana sobre que las mujeres y tal y le da la nominación a Marcela??🤣🤣🤣#conquisETB,twitter.com/IkerSantxo/status/1891631906380194253#m
@AitziberWest,twitter.com/AitziberWest,Me encanta que en individual vean todo pero ahora que son equipo no aceptan que si uno falla fallan todos#ConquisETB,twitter.com/AitziberWest/status/1891617982134063120#m
@josucrespoATH,twitter.com/josucrespoATH,Entre toreras y txakurras vaya edición#conquisETB,twitter.com/josucrespoATH/status/1891608854468686257#m
@Loinir,twitter.com/Loinir,"Ojo, que en la web de#ConquisETBya están escondidas las fotos de los capitanes... 👀",twitter.com/Loinir/status/1891479927242784981#m
@euskaltelebista,twitter.com/euskaltelebista,▶️VÍDEO#AVANCE| ¡Los nuevos capitanes esperan a las y los concursantes en el centro del laberinto hexagonal!#ConquisETB@elconquis_etbeitb.eus/es/television/progr…,twitter.com/euskaltelebista/status/1890326364982833412#m
@euskaltelebista,twitter.com/euskaltelebista,▶️VÍDEO#AVANCE| ¿Tendrán que elegir los capitanes a sus equipos en el juego de inmunidad? Las y los concursantes hacen cábalas con lo que leen en el correo...#ConquisETB@elconquis_etbeitb.eus/es/television/progr…,twitter.com/euskaltelebista/status/1890318814266683539#m
@RealityAdicted,twitter.com/RealityAdicted,"Bueno… participó en el conquis de RTVE, nada que ver con el#ConquisETB",twitter.com/RealityAdicted/status/1890011325990052291#m
@alberichspielt1,twitter.com/alberichspielt1,Subidón porque ya la tienen para lanzarla otra vez al inodoro en cuanto vuelvan a perder... Majetonesssss 😄#ElConquis4ETB#ElConquisETB#conquisETB,twitter.com/alberichspielt1/status/1889809004236505559#m
@beatrizmm7,twitter.com/beatrizmm7,Duelazo!!!#conquisETB,twitter.com/beatrizmm7/status/1889702458319863900#m
@tomyFIGH13R,twitter.com/tomyFIGH13R,"Estoy retomando el programa de anoche que me quedé frito 😂
Una cosa digna de mención. GRACIAS por omitir lo de que digan ""6 semanas sin comer"". No quedaba ni bien ni real. Podemos sobrevivir sabiendo que un día real es una semana de programa 😘#conquisETB#conquis4ETB",twitter.com/tomyFIGH13R/status/1889345567156797684#m
@maiderconquis,twitter.com/maiderconquis,"Sobre el capítulo de la semana pasada... No sé porqué un aprobado justo para Bea. No le tuvo miedo al duelo, no fue a por la rival que creía más débil y lo dió todo. Además que me pareció una tía maja y bastante humilde en su derrota#ConquisETB",twitter.com/maiderconquis/status/1889339686784520192#m
